Date,31/01/23,30/09/18,31/08/22,30/09/22
0.33,,,,3.88
0.42,,,3.08,4.13
0.5,3.53,0.79,3.24,4.32
0.58,3.52,0.80,3.35,4.45
0.67,3.5,0.80,3.41,4.54
0.75,3.47,0.80,3.42,4.59
0.83,3.43,0.80,3.41,4.62
0.92,3.38,0.80,3.37,4.64
1,3.34,0.81,3.33,4.65
1.08,3.3,0.82,3.28,4.66
1.17,3.26,0.83,3.23,4.66
1.25,3.22,0.84,3.17,4.66
1.33,3.2,0.86,3.12,4.65
1.42,3.17,0.87,3.07,4.64
1.5,3.15,0.89,3.02,4.64
1.58,3.13,0.91,2.97,4.63
1.67,3.12,0.93,2.93,4.62
1.75,3.1,0.95,2.89,4.61
1.83,3.1,0.97,2.85,4.60
1.92,3.09,0.99,2.82,4.59
2,3.08,1.01,2.79,4.58
2.08,3.08,1.03,2.76,4.57
2.17,3.08,1.06,2.73,4.56
2.25,3.08,1.08,2.71,4.54
2.33,3.08,1.10,2.68,4.53
2.42,3.09,1.12,2.66,4.51
2.5,3.09,1.14,2.64,4.50
2.58,3.09,1.16,2.63,4.48
2.67,3.1,1.18,2.61,4.47
2.75,3.1,1.20,2.60,4.45
2.83,3.11,1.22,2.58,4.44
2.92,3.12,1.24,2.57,4.42
3,3.12,1.26,2.56,4.41
3.08,3.13,1.28,2.55,4.39
3.17,3.13,1.30,2.54,4.37
3.25,3.14,1.32,2.54,4.36
3.33,3.15,1.34,2.53,4.34
3.42,3.15,1.36,2.53,4.33
3.5,3.16,1.38,2.52,4.31
3.58,3.16,1.40,2.52,4.30
3.67,3.17,1.41,2.52,4.28
3.75,3.18,1.43,2.51,4.26
3.83,3.18,1.45,2.51,4.25
3.92,3.19,1.46,2.51,4.23
4,3.19,1.48,2.51,4.22
4.08,3.2,1.50,2.51,4.20
4.17,3.21,1.51,2.51,4.19
4.25,3.21,1.53,2.51,4.17
4.33,3.22,1.54,2.52,4.16
4.42,3.22,1.56,2.52,4.14
4.5,3.23,1.57,2.52,4.13
4.58,3.24,1.59,2.53,4.11
4.67,3.24,1.60,2.53,4.10
4.75,3.25,1.61,2.54,4.09
4.83,3.26,1.63,2.54,4.07
4.92,3.26,1.64,2.55,4.06
5,3.27,1.66,2.56,4.05
5.5,3.32,1.73,2.61,3.98
6,3.37,1.80,2.68,3.92
6.5,3.43,1.87,2.76,3.88
7,3.51,1.94,2.86,3.85
7.5,3.59,2.00,2.97,3.84
8,3.67,2.06,3.08,3.84
8.5,3.76,2.11,3.20,3.85
9,3.85,2.16,3.31,3.87
9.5,3.94,2.21,3.42,3.89
10,4.03,2.25,3.52,3.92
10.5,4.11,2.29,3.61,3.94
11,4.19,2.32,3.69,3.96
11.5,4.26,2.35,3.75,3.97
12,4.31,2.37,3.80,3.98
12.5,4.36,2.39,3.83,3.98
13,4.4,2.41,3.84,3.97
13.5,4.42,2.41,3.84,3.96
14,4.43,2.42,3.83,3.93
14.5,4.43,2.42,3.81,3.90
15,4.42,2.42,3.78,3.86
15.5,4.4,2.41,3.74,3.82
16,4.37,2.41,3.70,3.77
16.5,4.34,2.40,3.65,3.72
17,4.3,2.38,3.59,3.66
17.5,4.25,2.37,3.53,3.60
18,4.19,2.35,3.46,3.54
18.5,4.14,2.33,3.39,3.48
19,4.08,2.31,3.33,3.42
19.5,4.01,2.29,3.25,3.36
20,3.95,2.27,3.18,3.30
20.5,3.89,2.24,3.11,3.25
21,3.82,2.21,3.04,3.19
21.5,3.76,2.18,2.97,3.14
22,3.7,2.15,2.90,3.08
22.5,3.63,2.12,2.83,3.03
23,3.57,2.08,2.76,2.97
23.5,3.51,2.04,2.69,2.92
24,3.45,2.00,2.63,2.87
24.5,3.4,1.96,2.57,2.81
25,3.35,1.92,2.51,2.76
25.5,3.3,1.88,2.45,2.70
26,3.25,1.83,2.40,2.65
26.5,3.2,1.79,2.35,2.59
27,3.16,1.74,2.30,2.53
27.5,3.12,1.70,2.26,2.48
28,3.09,1.66,2.22,2.42
28.5,3.05,1.62,2.18,2.36
29,3.02,1.58,2.14,2.30
29.5,2.99,1.54,2.11,2.24
30,2.96,1.50,2.08,2.18
30.5,2.94,1.46,2.05,2.12
31,2.92,1.43,2.03,2.06
31.5,2.89,1.40,2.01,2.01
32,2.88,1.37,1.99,1.95
32.5,2.86,1.35,1.98,1.90
33,2.85,1.33,1.97,1.85
33.5,2.84,1.31,1.96,1.80
34,2.83,1.29,1.95,1.75
34.5,2.82,1.28,1.94,1.70
35,2.81,1.27,1.94,1.66
35.5,2.81,1.26,1.94,1.62
36,2.81,1.25,1.94,1.58
36.5,2.81,1.25,1.95,1.54
37,2.81,1.25,1.95,1.51
37.5,2.81,1.25,1.96,1.47
38,2.81,1.26,1.97,1.44
38.5,2.82,1.27,1.97,1.41
39,2.83,1.28,1.98,1.38
39.5,2.83,1.29,2.00,1.36
40,2.84,1.30,2.01,1.33
