Month,Short ,Medium ,Long ,Ultra-Long
 Apr-1998,5.91%,5.70%,5.71%,
 May-1998,5.82%,5.57%,5.55%,
 Jun-1998,6.17%,5.64%,5.43%,
 Jul-1998,6.06%,5.57%,5.38%,
 Aug-1998,5.52%,5.19%,5.11%,
 Sep-1998,5.00%,4.80%,4.77%,
 Oct-1998,4.98%,4.96%,5.00%,
 Nov-1998,4.71%,4.59%,4.60%,
 Dec-1998,4.40%,4.30%,4.36%,
 Jan-1999,4.30%,4.24%,4.32%,
 Feb-1999,4.45%,4.39%,4.42%,
 Mar-1999,4.70%,4.60%,4.55%,
 Apr-1999,4.67%,4.49%,4.47%,
 May-1999,4.93%,4.77%,4.71%,
 Jun-1999,5.26%,5.03%,4.97%,
 Jul-1999,5.48%,5.20%,4.71%,
 Aug-1999,5.69%,5.25%,4.63%,
 Sep-1999,5.96%,5.52%,4.77%,
 Oct-1999,6.24%,5.70%,4.74%,
 Nov-1999,5.89%,5.16%,4.23%,
 Dec-1999,5.95%,5.28%,4.41%,
 Jan-2000,6.35%,5.74%,4.69%,
 Feb-2000,6.22%,5.55%,4.57%,
 Mar-2000,6.00%,5.27%,4.40%,
 Apr-2000,5.94%,5.23%,4.50%,
 May-2000,5.90%,5.35%,4.46%,
 Jun-2000,5.77%,5.14%,4.46%,
 Jul-2000,5.73%,5.17%,4.35%,
 Aug-2000,5.80%,5.25%,4.44%,
 Sep-2000,5.79%,5.31%,4.57%,
 Oct-2000,5.64%,5.14%,4.58%,
 Nov-2000,5.48%,5.05%,4.44%,
 Dec-2000,5.29%,4.89%,4.34%,
 Jan-2001,5.19%,4.88%,4.29%,
 Feb-2001,5.15%,4.89%,4.37%,
 Mar-2001,4.95%,4.77%,4.40%,
 Apr-2001,5.01%,4.90%,4.68%,
 May-2001,5.20%,5.06%,4.80%,
 Jun-2001,5.31%,5.13%,4.94%,
 Jul-2001,5.32%,5.13%,4.84%,
 Aug-2001,5.08%,4.90%,4.59%,
 Sep-2001,4.93%,4.91%,4.74%,
 Oct-2001,4.77%,4.76%,4.63%,
 Nov-2001,4.58%,4.58%,4.34%,
 Dec-2001,4.91%,4.85%,4.55%,
 Jan-2002,4.96%,4.90%,4.61%,
 Feb-2002,4.98%,4.93%,4.63%,
 Mar-2002,5.28%,5.22%,4.91%,
 Apr-2002,5.27%,5.21%,4.96%,
 May-2002,5.27%,5.25%,5.03%,
 Jun-2002,5.10%,5.07%,4.88%,
 Jul-2002,4.92%,4.95%,4.76%,
 Aug-2002,4.57%,4.66%,4.51%,
 Sep-2002,4.33%,4.45%,4.32%,
 Oct-2002,4.39%,4.57%,4.47%,
 Nov-2002,4.41%,4.59%,4.53%,
 Dec-2002,4.37%,4.53%,4.54%,
 Jan-2003,4.17%,4.37%,4.43%,
 Feb-2003,3.90%,4.20%,4.35%,
 Mar-2003,3.94%,4.27%,4.49%,
 Apr-2003,4.08%,4.41%,4.62%,
 May-2003,3.83%,4.15%,4.44%,
 Jun-2003,3.69%,4.02%,4.39%,
 Jul-2003,3.91%,4.43%,4.66%,
 Aug-2003,4.31%,4.59%,4.67%,
 Sep-2003,4.43%,4.69%,4.72%,
 Oct-2003,4.70%,4.90%,4.80%,
 Nov-2003,4.88%,5.04%,4.85%,
 Dec-2003,4.68%,4.88%,4.74%,
 Jan-2004,4.59%,4.78%,4.67%,
 Feb-2004,4.61%,4.81%,4.70%,
 Mar-2004,4.54%,4.70%,4.61%,
 Apr-2004,4.82%,4.94%,4.76%,
 May-2004,5.03%,5.09%,4.86%,
 Jun-2004,5.17%,5.18%,4.83%,
 Jul-2004,5.07%,5.08%,4.77%,
 Aug-2004,4.96%,4.97%,4.65%,
 Sep-2004,4.85%,4.90%,4.62%,
 Oct-2004,4.67%,4.76%,4.56%,
 Nov-2004,4.61%,4.68%,4.46%,
 Dec-2004,4.47%,4.53%,4.39%,
 Jan-2005,4.48%,4.55%,4.43%,
 Feb-2005,4.61%,4.61%,4.43%,
 Mar-2005,4.79%,4.81%,4.65%,
 Apr-2005,4.59%,4.62%,4.53%,
 May-2005,4.36%,4.41%,4.37%,
